# Generated via ElevenLabs Sound Effects API.
# License: standard ElevenLabs paid/free tier — generated audio is
# yours to use commercially. https://elevenlabs.io/sound-effects
# prompt_influence=0.55
# id	duration	prompt
krowa	3.0s	Cute cartoon cow saying moo moo, friendly children's animated TV show, warm gentle voice, single happy cow
kot	2.5s	Cute cartoon kitten meowing meow meow meow, playful, children's animated show, soft and adorable
pies	3.0s	Cartoon dog barking loudly woof woof woof, multiple clear sharp friendly barks, happy energetic dog, children's animated TV show
kura	3.0s	Cute cartoon hen clucking cluck cluck cluck, friendly farm, children's animated show
kogut	3.0s	Cheerful cartoon rooster crowing cock-a-doodle-doo, sunny morning, children's animated TV show
kaczka	2.5s	Cute cartoon duck quacking quack quack quack, playful and bouncy, children's animated TV show
kon	3.0s	Cute cartoon horse neighing whinny hee-hee-hee, friendly pony, children's animated TV show
swinia	3.0s	Adorable cartoon pink piglet snorting oink oink oink, cute baby pig, bouncy happy, children's animated TV show
owca	2.5s	Cute cartoon sheep bleating baa baa baa, gentle fluffy, children's animated TV show
koza	2.5s	Cute cartoon baby goat bleating maa maa maa, playful, children's animated TV show
osiol	3.0s	Cute cartoon donkey braying hee-haw hee-haw, friendly, children's animated TV show
